job_title,occupation_group,occupation,occupation_group_index,occupation_index
The English teacher,Teacher,English Language Teacher,140,200
Tax Collection Staff,Lawyer,Tax Collector,82,542
ผู้จัดการแผนกพัฒนาภัตตาคาร,Restaurant Manager,Restaurant Manager,130,490
SAP ABAPer (1 Position),IT and Computer,Project Manager - IT,74,457
Production manager,Production,Production Manager,118,447
เจ้าหน้าที่วิชาการ (อาหารเสริมสำหรับสัตว์),Agricultural And Natural Resources,Animal Husbandman,6,28
นักวิจัยนโยบายสังคม,Sociologist,Sociologist,138,520
Tooling Engineer,Engineering,Mechanical Engineer,50,353
Agronomist - Coffee,Agricultural And Natural Resources,Agronomist,6,22
พนักงานต้อนรับและรับโทรศัพท์ (2 อัตรา),Customer Service,Receptionist,37,475
เจ้าหน้าที่ฝ่ายเอกสาร,Administration,Document Officer,2,176
ผู้ช่วยโพร์แมน,Engineering,Site Foreman,50,516
งานเขียนแบบ Autocad,Product Design,CAD Designer,117,79
Assistant Corporate Public Relations Manager ,Advertising and PR,PR Manager,5,401
เจ้าหน้าที่ที่ปรึกษาผลิตภัณฑ์ทางการเงิน,Finance,Financial Consultant,55,225
ที่ปรึกษาด้านอาหาร,Food Consultant,Food Consultant,61,240
ช่างก่อฉาบ สมุทรปราการ,Construction/Building Technician,Plastering,31,426
เเครชเชียร์/เสริฟ์/ครัวพาสต้า,Customer Service,Cashier,37,90
CONSERVATION / RETENTION SUPERVISOR,Conservator,Conservator,30,131
Elevetor Constructor,Construction/Building Technician,Elevetor Constructor and Mechanic,31,194
Security Management Manager,Security Guard,Security Manager,135,507
<b>UOB Open House One Day วัน SME <b>รับสมัครและสัมภาษณ์ทันที 8 พฤศจิกายน 2557,Job Fair,Job Fair,79,313
Six Sigma Blackbelt,Productivity Improvement,Productivity Improvement,120,450
เจ้าหน้าที่วิจัย,Researcher,Researcher,129,487
Category Administrative,Marketing,Category Administrative,88,91
Operations Technician,Operation Staff,Operations Technician,103,389
เจ้าหน้าที่สนับสนุน,Administration,Administrator,2,8
Purchasing ,Purchasing,Purchasing Manager,125,465
Production Night Shift Manager,Production,Production Manager,118,447
Junior Geographer,Geoscientist and Geographer,Geographer,67,257
SYSTEM ANALYZE / PROJECT LEADER,IT and Computer,System Analyst,74,537
Sale Executives ( แผนกเครื่องใช้ไฟฟ้า ),Sales,Sales,132,495
เจ้าหน้าที่ผังเมือง,Architecture/Interior,Urban and Land Use Planner,12,575
ผู้ประกาศทางวิทยุและโทรทัศน์,Reporter,Radio and Televison Announcer,127,472
Media Buyer & Co-ordinator,Advertising and PR,Media Buyer,5,354
ผู้จัดการกลุ่มนักลงทุนสัมพันธ์,Marketing,Category Management,88,92
นักวิชาการสิ่งแวดล้อม,Environmental Scientist,Environmental/Geological Testing & Analyst,51,203
Customer Service ภาษาจีน,Customer Service,Customer Service,37,148
Instrument Engineer (Oil&Gas) <br> (BNNROW15092009),Engineering,Instrument Engineer,50,299
Artwork Coordinator<br> (สัญญาจ้างรายปี),Advertising,Artwork Coordinator,4,38
Property Manager ,Administration,Property Development Manager,2,459
"IPT Engineer (Voice, Avaya)",Engineering,Engineer,50,198
Technician,Technician,Technician,141,550
TECHNICIAN (Helper),Technician,Technician,141,550
ผู้ช่วยด้านแผน งบประมาณ และกิจการสภา,Finance,Finance Officer,55,222
พนักงานขายโปรโมชั่นกำจัดแมลง,Sales,Sales,132,495
พนักงานควบคุมคุณภาพน้ำบอยเลอร์,Technician,Electric Boiler Technician,141,189
QC Analyst  - Bulk,Quality Assurance,Quality Control,126,468
Design Drafter,Design Drafter,Design Drafter,40,165
ช่างซ่อมไฮดรอลิค,Technician,Hydraulic System Technician,141,282
Forestry Technologist and Technician,Forester,Forestry Technologist and Technician,64,245
"Application Development and Technical Service - Construction and Insulation foam (Based in Map Ta Phut, Rayong)",Engineering,Technical Service,50,548
Cargo Reservation (Air Astana),Logistic Officer,Logistic Officer,85,331
Digital Advertising Specialist,Advertising,Advertising Specialist,4,12
<font color=red><b>Urgently Required!!!</font color></b>Admin Accounting / Coordinator (ฝ่ายประสานงาน และ ธุรการบัญชี),Accounting,Accountant,1,4
ออกแบบสื่อ,Creative Art,Creative Art,36,145
"Video Editor<br>(Production, Thai Teachers.TV Project)",Photographer & Videographer,Video Editor,108,580
ครูสอนศิลปะเด็ก,Teacher,Art Teacher,140,36
นิติกร (โรงพยาบาลจุฬารัตน์ 3 อินเตอร์),Lawyer,Lawyer,82,322
Customs Clearance พิธีการศุลกากร,Import and Export,Customs Clearance Supervisor,75,150
ช่างภาพ,Photographer & Videographer,Photographer,108,416
Lead Flight Engineer,Engineering,Flight Engineer,50,234
"พยาบาลวิชาชีพประจำ / นอกเวลา ประจำ ICU ,Ward, OPD ,ER,วิสัญญี",Nurse,Nurse,101,380
New Product Developer,Research and Development,Research and Development Executive,128,485
 ผู้จัดการฝ่ายการตลาดวิจัยกลุ่มสินค้า ,Marketing,Category Manager,88,93
Account Executive,Account Executive,Account Executive,0,2
Financial Planner,Finance,Financial Planner,55,229
วิศวกร Support ระบบ GPS และกล้องติดรถบรรทุก,Engineering,Telecommunication Engineer,50,551
ช่าง Welder/ช่างเทคนิค/จนท.ประจำเครื่องจักร,Operation Staff,Machine Operator,103,333
Performance Engineer (Welcome for Gulf’s Career day),Job Fair,Job Fair,79,313
เจ้าหน้าที่ทะเบียนรับ,Finance,Underwriter,55,573
ผู้อำนวยการฝ่ายภาษี,Lawyer,Tax Director,82,543
<font color=red><b>Urgently Required!!!</font color></b><br>Quality & Safety Engineer,Safety Officer,Safety Engineer,131,493
Sales/Design Officers<br>Clean / Cold Rooms & Industrial Roofing,Sales,Sales,132,495
Pastry Chef,Food Preparation,Baker,62,56
เจ้าหน้าที่ดูแลระบบเนตเวิร์คประจำจังหวัดสุโขทัย Part - time,IT and Computer,IT Support,74,291
เจ้าหน้าที่ BOI,BOI Officer,BOI Administrator,17,51
นักภูมิศาสตร์ปฏิบัติการ,Geoscientist and Geographer,Geographer,67,257
Residential Home Builder and Renovator,Construction/Building Technician,Residential Home Builder and Renovator,31,489
Project Quality Engineer,Engineering,Quality Engineer,50,469
ช่างกลึง,Technician,Milling Technician,141,369
Shopper Marketing,Marketing,Marketing Officer,88,344
Tax Collection Officer (Urgent),Lawyer,Tax Collector,82,542
เลขากรรมการบริษัท,Secretary,Secretary,134,505
Oversea Coordinator ,Import and Export,Oversea Coordinator,75,397
ช่างไฟฟ้า,Electrician,Electrician,48,191
ENGINEERS / TECHNICIANS,Engineering,Engineer,50,198
Horticulturist ประสบการณ์ 2 ปีขึ้นไป,Agricultural And Natural Resources,Horticulturist,6,279
<font color=red><b>Urgently Required!!!</font color></b>  Search Specialist / สืบค้นข้อมูลด้านสื่อ,Advertising,Advertising Specialist,4,12
Banker,Finance,Banker,55,57
ครูผู้สอนวิชาภาษาไทย,Teacher,Thai Language Teacher,140,557
Web Design and Graphic Printing<br>(1 Position Full - Part Time),Graphic Designer,Graphic Designer,68,263
Regional Graphic Design & Marketing Coordinator,Marketing,Marketing Coordinator,88,341
Document Control,Administration,Document Officer,2,176
Chief Inspector General (Economist),Economist,Chief Inspector General,46,101
Singer,Singer,Singer,136,514
พนักงานบริการ,Customer Service,Customer Service,37,148
นักวิชาการ - ดาราศาสตร์,Astronomer,Astronomer,15,42
Radio and Televison Announcer,Reporter,Radio and Televison Announcer,127,472
วิสัญญี,Physician/Doctor,Anesthetist,110,27
Data Mining Specialist – Customer Value Management,Data,Data Mining Specialist,38,157
เจ้าหน้าที่ธุรการงานขนส่ง,Transportation Officer,Transportation Officer,146,568
Contractor and Supervisor,Contracts Administrator,Contractor & Supervisor,33,136
Management Trainee  ( Rayong based),Management Trainee,Management Trainee,87,337
"Sales Engineers (Surin, Suphanburi, Chonburi, Saraburi, Thungsong)",Sales,Sales Engineer,132,497
ที่ปรึกษาคุณภาพด้านอาหาร,Food Consultant,Food Consultant,61,240
นักวิเคราะห์การสื่อสาร/Communication Analyst,Advertising and PR,Communication Analyst,5,121
Program Manager,IT and Computer,Project Manager - IT,74,457
TOYOTA PRETTY 2007,Marketing,Ambassador,88,25
3D perspective Modeling,Design Drafter,3D Visualizer,40,0
แคชเชียร์,Customer Service,Cashier,37,90
Artwork,Graphic Designer,Graphic Designer,68,263
ผู้สื่อข่าวภาคสนาม,Reporter,News Reporter,127,379
Operations/Plant Management Officer,Production,Plant Management Officer,118,424
วิศวะกรขาย,Sales,Sales Engineer,132,497
Process Control Engineer,Engineering,Process Control Engineer,50,437
แพทย์เวชปฏิบัติทั่วไป,Physician/Doctor,General Practitioner,110,256
ผู้อำนวยการ - โฆษณาและประชาสัมพันธ์,Advertising and PR,Advertising and PR Director,5,13
เจ้าหน้าที่บันทึกข้อมูล,Administration,Data Entry/Order Processor,2,155
หัวหน้าชุดประจำจุดซ่อมบำรุง,Construction/Building Technician,Group Leader Technician,31,266
ผู้ช่วยบรรณาธิการ,Writer and Editor,Assistant Editor,152,40
เจ้าหน้าห้องปฏิบัติการ,Lab Technician,Laboratory Assistant,80,319
ผู้จัดการโครงการเสาเข็มเจาะ (เจาะใหญ่),Engineering,Site Manager,50,517
เจ้าหน้าที่ฝ่ายบริบาลเด็กทารกและปฐมวัย,Teacher,Early Childhood Care & Development Staff,140,182
Senior System Analyst,IT and Computer,System Analyst,74,537
Principal Assistant/ Admissions Officer,Admissions Officer,Admissions Officer,3,9
Sale Support   (5  ตำแหน่ง),Sales,Sales Support,132,498
Rental and Sales Management/CSR,Corporate Social Responsibility,Corporate Social Responsibility,34,139
นักวิเคราะห์การประกันคุณภาพเวบไซต์,IT and Computer,Tester,74,553
<font color=red><b>Urgently Required!!!</font color></b> Web Content Executive,IT and Computer,Web Administrator,74,589
ผู้อำนวยการสาธารณสุข,Physician/Doctor,Medical Director,110,359
ADMISSIONS OFFICER – PARENT LIAISON,Admissions Officer,Admissions Officer,3,9
<font color=red><b>Urgently Required!!!</b></font>Capital Markets (Land / Investments & Development Sales)Director (Thailand),Business Developer,Business Development Manager,23,74
Helicopter Pilot,Pilot,Pilot,112,423
ครูวิชาดนตรี,Teacher,Western Music Teacher,140,593
Freight/Documentation Staff,Logistic Officer,Logistic Officer,85,331
เจ้าหน้าที่ประจำห้องปฏิบัติการ,Lab Technician,Lab Technician,80,318
"Project Engineer (Well Intervention,Drilling)",Engineering,Drilling Engineer,50,180
Operation Support Officer,Operation Staff,Operation Staff,103,386
ผู้ช่วยผู้จัดการร้านกาแฟ Coffee World,Restaurant Manager,Restaurant Manager,130,490
พนักงานธุรการ/ พิมพ์รายงาน,Administration,Data Entry/Order Processor,2,155
กราฟฟิคดีไซน์เนอร์,Graphic Designer,Graphic Designer,68,263
นักวิชาการ ดาราศาสตร์ ประจำศูนย์วิจัย,Astronomer,Astronomer,15,42
เจ้าหน้าที่อาวุโสที่ปรึกษาทางการเงิน,Finance,Financial Advisor,55,223
Staff/Senior Staff of Product Process Development,Research and Development,Research and Development Director,128,483
ที่ปรึกษาอาจารย์,Lecturer,Professor,83,451
Sr. Astronomer,Astronomer,Astronomer,15,42
Editor,Writer and Editor,Editor,152,186
Productivity Improvement Engineer,Productivity Improvement,Productivity Improvement,120,450
นักดนตรีวงดนตรีงานแต่งงาน,Musician,Musician,98,374
เจ้าหน้าที่สถิติผลประโยชน์,Mathematics & Statistics,Statistician,90,527
ธรรมชาติบำบัด,Naturapath,Naturapath,99,375
พนักงงาน,othe,other,153,596
Director (Ads/PR),Advertising and PR,Advertising and PR Director,5,13
Event Coordinator,Event,Event Coordinator,53,206
Commis 3,Food Preparation,Food Preparation,62,241
Sale & Reservation Agent,Customer Service,Reservation Officer,37,488
ช่างเขียนแบบProgressive Die Design,Engineering,DIE Designer,50,151
เจ้าหน้าที่ควบคุมการออกอากาศ,Broadcasting,Master Control Room Officer,20,345
Utility Engineer,Engineering,Facilities Engineer,50,214
Graphic Designer,Photographer & Videographer,Cameraman,108,85
truck sales,Sales,Sales,132,495
ผู้อำนวยการวางแผนและยุทธศาสตร์องค์กร,Top Level Executive,Managing Director,142,338
Field engineer,Engineering,Site Engineer,50,515
"ช่างซ่อมบำรุง (ระบบนิวเมติก,ไฮดรอลิก)",Technician,Hydraulic System Technician,141,282
Art Director (ระยอง),Art Director,Art Director,13,35
Research and Development Director / ผู้อำนวยการฝ่ายวิจัยและพัฒนา,Research and Development,Research and Development Director,128,483
รับสมัครช่าง ตัดขนสุนัข แถว พัทยากลาง,Dog Groomer,Dog Groomer,43,177
เจ้าหน้าที่แผนกสนับสนุนการจำหน่าย (Sales Support),Sales,Sales Support,132,498
Geographer - New grad are welcome,Geoscientist and Geographer,Geographer,67,257
Project Manager,IT and Computer,Project Manager - IT,74,457
ช่างไฟฟ้า,Electrician,Electrician,48,191
PR Head,Advertising and PR,PR Director,5,399
พนักงานขับรถส่งของ,Driver,Driver,44,181
"ไอที,สโตร์",Warehouse Management,Store Officer,151,529
การศึกษา / การฝึกอบรม,Teacher,Teacher,140,545
พยาบาลวิชาชีพ,Nurse,Nurse,101,380
Logistics & Inventory Control Specialist,Warehouse Management,Warehouse and Logistics Officer,151,587
QC Scientist,Quality Assurance,Quality Control,126,468
General Assembly Shop Engineer  (1 Position),Operation Staff,Machine Operator,103,333
Painter,Creative Art,Painter,36,404
เจ้าหน้าที่พิสูจน์อักษร,Writer and Editor,Proof Reader,152,458
<font color=red><b>Urgently Required!!!</font color></b> Asst. Merchandise Manager / Sr. Merchandiser,Purchasing,Merchandise Manager,125,366
Trainer,Trainer,Trainer,144,563
Animal Scientist,Animal Scientist,Animal Scientist,9,29
ผู้บริหารระดับสูง,Top Level Executive,Executive,142,210
<font color=red><b>Urgently Required!!!</font color></b><br>Graphic Designer/  Flash Game,Multimedia,Game Designer,96,250
Permanent Secretary,Permanent Secretary,Permanent Secretary,106,409
Agricultural Contractor,Agricultural And Natural Resources,Agricultural and Related Service Contractor,6,20
<font color=red><b>Urgently Required!!!</b></font><br>Shipping Officer (เจ้าหน้าที่นำเข้า-ส่งออกสินค้า) - 1 Position,Import and Export,Import and Export Officer,75,293
Safety Specialist,Safety Officer,Safety Officer,131,494
Hair and Makeup Artist,Hair Cutting/Styling,Hair Cutting/Styling,70,273
ประธานคณะกรรมการบริหาร,Top Level Executive,Chairman,142,94
นักวิทยาศาสตร์อาหาร,Food Scientist,Food Scientist,63,242
Vice President-Compliance (Banking),Top Level Executive,Vice President,142,579
Technician (Repair PCBA) / Technician (SMT&AOI),Technician,Instrument Repair Technician,141,300
กองบรรณาธิการ / นักเขียน / คอลัมนิสต์ ประจำนิตยสาร DG นิตยสารเกี่ยวกับการตกแต่ง,Writer and Editor,Columnist,152,119
หัวหน้าควบคุมคุณภาพ ( QC),Quality Assurance,Quality Control,126,468
ผู้อำนวยการฝ่ายเครื่องจักรกล (บริหารโรงงานผลิตคอนกรีต),Engineering,Mechanical Engineer,50,353
Presales/ Technical Sales Coordinator,Sales,Presales Support,132,433
ผู้ช่วยบรรณาธิการข่าวเช้า (Assistant News Editor),Writer and Editor,Assistant Editor,152,40
Inspector,Engineering,Inspector,50,297
พนักงานขับรถผู้บริหาร,Driver,Driver,44,181
หัวหน้าพยาบาลวิชาชีพประจำ WARD ( สาขาอมตะนคร ),Nurse,Nurse,101,380
Data Modeling & Analytics,Data,Data Analytic,38,153
BOI Officer,BOI Officer,BOI Officer,17,55
PRODUCT   SPECIALIST  ( Laboratory Chemical and Apparatus Division ),Sales,Sales,132,495
Sports Custodian,Physical Consultant,Sports Medical Trainer,109,526
นักเขียนบทวีดีโอสั้นและบทโฆษณา,Writer and Editor,Dramatist,152,179
Senior Technician Trainer,Trainer,Training Officer,144,564
Public Relations Coordinator,Advertising and PR,PR Coordinator,5,398
ครูสอนดนตรี,Teacher,Western Music Teacher,140,593
ช่างประปา,Construction/Building Technician,Plumber/Pipefitting,31,428
นักวิทยาศาสตร์ (เวชสำอางค์),Clinical Researcher,Medical Scientist,29,363
ช่างทองประจำร้าน,Jewelry Technician,Goldsmith,78,260
Secretary of Executive Director Office of the Governor ,Secretary,Secretary,134,505
ตรวจสอบคุณภาพ,Quality Assurance,Quality Control,126,468
เจ้าหน้าที่สนับสนุนบริการดิจิตอล,Customer Service,Customer Service,37,148
นักกายภาพบำบัด director ประจำสาขา,Medical Therapy/Rehab Services,Physical Therapist,94,419
เจ้าหน้าที่กองบรรณาธิการ,Writer and Editor,Assistant Editor,152,40
Advertising and PR Manager,Advertising and PR,Advertising and PR Manager,5,14
Station Patrol Committee / Property Patrol Committee,Marketing,Branch Manager,88,67
"SEngineer (QA , PCE , PDE ,SQE) - 20 Positions",Quality Assurance,Quality Assurance,126,467
ผู้จัดการตรวจสอบระบบบริหารจัดการ,Economist,Chief Inspector General,46,101
Operator,Operation Staff,Machine Operator,103,333
เจ้าหน้าที่สโตร์,Warehouse Management,Store Officer,151,529
พัฒนาองค์กร,HR,Organizational Development Manager,69,393
Choreographer (Experienced),Performer/Artist,Choreographer,105,104
ผู้จัดการสาขา,Marketing,Branch Manager,88,67
รับสมัครแดนเซอร์ - งาน Part Time,Performer/Artist,Dancer,105,152
General Manager / Business Director,Director General,Director General,41,170
Personal Trainer,Trainer,Personal Trainer,144,410
Fisherman งานประมง,Fisherman,Fisherman,56,230
เจ้าหน้าที่ประชาสัมพันธ์ (PR Executive),Advertising and PR,PR Executive,5,400
ป่าไม้,Forester,Forester,64,244
Purchasing Officer,Purchasing,Purchasing Executive,125,464
ช่างศูนย์บริการ,Technician,Technical Support,141,549
Seller acquisition,Sales,Sales,132,495
นักวางแผนการเงิน,Finance,Financial Planner,55,229
Marine Engineer,Engineering,Engineer,50,198
นักระบาดวิทยา,Epidemiologist,Epidemiologist,52,204
ปฏิบัติทางการเกษตร,Agricultural And Natural Resources,Agricultural and Natural Resource,6,19
Master Data Supervisor,Data,Data Management,38,156
เจ้าหน้าที่ธุรการชุมชน,Administration,Community Officer,2,125
Data admin,IT and Computer,System Administrator,74,536
Capital Risk Analyst (นักวิเคราะห์บริหารความเสี่ยงด้านกองทุน),Finance,Investment Analyst,55,306
Web Master,IT and Computer,Web Administrator,74,589
Photo Coordinator,Creative Art,Photo,36,415
Photographer [Job ID:30071],Photographer & Videographer,Photographer,108,416
เจ้าหน้าที่วิจัยข้อมูล,Researcher,Researcher,129,487
ศัลยศาสตร์ออร์โธปิดิกส์,Physician/Doctor,Orthopedist,110,395
Operator,Administration,Telephone Operator,2,552
In-Flight Service Agent ประจำสนามบินนานาชาติเชียงใหม่,Flight Attendant,Cabin Crew,58,82
หัวหน้าฝ่ายบุคคลและกฎหมาย,Lawyer,Legal Affairs Manager,82,325
Supplier Quality Management Specialist,Warehouse Management,Supplier Management/Vendor Management,151,532
ผู้จัดการแผนกพัฒนาภัตตาคาร,Restaurant Manager,Restaurant Manager,130,490
GIS Application Developer,IT and Computer,Programmer / Software Developer,74,453
<font color=red><b>Urgently Required!!!</b></font><br>Operation Officer,Operation Staff,Operations Technician,103,389
Financial and Statutory Accountant (Base in Bangkok),Accounting,Accountant,1,4
Landscape Architect,Architecture/Interior,Landscape Architect,12,321
Event Coordinator,Event,Event Coordinator,53,206
Education Consultant (In-house Sales),Educational Counsellor,Educational Counsellor,47,187
นักชิมไวน์,Food Preparation,Wine Steward (Sommelier),62,594
หัวหน้าแผนกสรรหา,HR,HR Manager,69,270
เจ้าหน้าทีฝ่ายเร่งรัดหนี้สิน,Finance,Collection Representative,55,117
ช่างซ่อมเครื่องใช้ไฟฟ้า,Electronic Technician,Electric Appliance Service and Repairer,49,188
Technical Service Engineer,Engineering,Technical Service,50,548
Agricultural and Natural Resource,Agricultural And Natural Resources,Agricultural and Natural Resource,6,19
นักวิเคราะห์บัญชี,Accounting,Accounting Analyst,1,5
Electrical and Sound Supervisor,Audio and Video Recording Technician,Sound and Recording Engineer,16,523
หัวหน้าช่าง,Construction/Building Technician,Group Leader Technician,31,266
Merchandiser มือถือ ASUS ประจำ บางกะปิ-รามอินทรา,Purchasing,Merchandiser,125,367
ธุรการ สนับสนุนและบริการ,Administration,Administrator,2,8
Production  Foreman (1 อัตรา),Production,Production,118,445
เด็กฝึกงาน,othe,other,153,596
<font color=red><b>Urgently Required!!!</font color></b> เจ้าหน้าที่ฝ่ายออกแบบ,Product Design,Industrial Designer,117,295
Product Specialist,Engineering,Product Specialist - Engineer,50,444
Creative Direction,Graphic Designer,Creative Direction/Lead,68,146
Trainer,Trainer,Trainer,144,563
ผู้จัดการงานก่อสร้าง (Construction Manager) งานอาคารสถานี,Engineering,Site Manager,50,517
พนักงานห้องทดลอง (เพศชาย),Lab Technician,Lab Technician,80,318
ช่างอัญมณีตัวเรือน,Jewelry Technician,Jewelry Technician,78,312
Inventory Officer,Inventory Planning and Management,Inventory Planning and Management,77,304
Expediter,Food Preparation,Expediter,62,213
Packaging Development Executive,Research and Development,Packaging Development,128,403
OPERATIONS TECHNICIAN (Petroleum/Petrochemical),Technician,Petroleum Technician,141,412
[N] Production Assistant Manager (D-2537),Production,Production Manager,118,447
เจ้าหน้าที่ Food Science,Food Scientist,Food Scientist,63,242
Site Manager,Engineering,Site Manager,50,517
งานอัดเสียงสปอตโฆษณา หญิง,Voice Over,Voice Over,150,583
เจ้าหน้าที่ศูนย์อำนวยการวิศวกรรมและบริหารจัดการอาคาร,Building Manager,Building Manager,21,70
เจ้าหน้าที่เทคนิคออกอากาศ,Broadcasting,Broadcast Technician,20,68
บริหารสาขา,Marketing,Branch Manager,88,67
ประชาสัมพันธ์ภาษาจีน หรือภาษาอังกฤษ (ประจำศูนย์การค้า Terminal 21 สาขาอโศก),Advertising and PR,PR Executive,5,400
นักจิตวิทยาคลีนิก,Psychologist,Psychologist,122,461
Fashion Designer,Fashion Designer,Fashion Designer,54,216
Temporary Accounts Executive (1 Months to 3 Months),Account Executive,Account Executive,0,2
"จัดซื้อ, บัญชี, ธุรการ",Administration,Administrator,2,8
Food Science Supervisor / Officer,Food Scientist,Food Scientist,63,242
ผู้แทนการตลาด - ธุรกิจบัตรน้ำมัน,Sales,Sales,132,495
"Website Manager , Media Manager , Advertising Manager , Dev Manager|",Advertising and PR,Media Planner,5,357
ครูผู้สอน,Teacher,Teacher,140,545
ผู้เชี่ยวชาญอาวุโสด้านการสื่อสาร,Advertising and PR,Communication Specialist,5,124
Communication,Advertising and PR,Communication Analyst,5,121
Visualizer,Visualizer,Visualizer,149,582
"Printer Pre-Sales (2+yrs exp with Industrial Printer/ Garment, Textile knowledge/ Good English) RSM 6804",Sales,Presales Support,132,433
Legal Officer,Lawyer,Legal Officer,82,327
ช่างซ่อมบำรุงเครื่องจักร,Technician,Maintenance Technician,141,334
คนออกแบบท่าเต้น,Performer/Artist,Choreographer,105,104
Personal Assistant to MD,Secretary,Secretary,134,505
ช่างเทคนิค,Technician,Technician,141,550
ทนายความ,Lawyer,Lawyer,82,322
Logistics & Warehouse Supervisor,Warehouse Management,Warehouse and Logistics Manager,151,586
Plant Manager (for Sta. Cruz Laguna),Production,Plant/Factory Manager,118,425
Operation Planning,Production,Production Planner,118,448
ตัดต่อ คอมพิวเตอร์กราฟิก ช่างภาพ,Photographer & Videographer,Video Editor,108,580
Localization Engineer,Translator,Localization,145,330
ผู้อำนวยการฝ่ายจัดจำหน่าย,Marketing,Distribution Director,88,172
ครูการศึกษาพิเศษ,Teacher,Special Education Teacher,140,524
Beauty Advisor,Sales,Beauty Advisor,132,61
พนักงานต้อนรับ/ธุรการ,Customer Service,Guest Service Agent,37,267
เจ้าหน้าที่สิ่งแวดล้อม,Environmental Scientist,Environmental/Geological Testing & Analyst,51,203
เจ้าหน้าที่สถิติผลประโยชน์,Mathematics & Statistics,Statistician,90,527
โฟร์แมน,Engineering,Site Foreman,50,516
Senior Engineer,Engineering,Engineer,50,198
ช่างนั่งร้าน ด่วน,Construction/Building Technician,Scaffolding Installing Technician,31,499
Research&Design,Research and Development,Research and Development Executive,128,485
ผู้แนะนำเรื่องไวน์,Food Preparation,Wine Steward (Sommelier),62,594
ช่างแอร์,Technician,Technician,141,550
ผู้ประชาสัมพันธ์,Advertising and PR,PR Executive,5,400
Art Director,Art Director,Art Director,13,35
Pre-sale for DOCS and BPS/DMS,Sales,Presales Support,132,433
งาน Paint,Creative Art,Painter,36,404
เจ้าหน้าที่ประสานงานสาขา,Project Coordinator,Project Coordinator,121,454
Barista,Food Preparation,Barista,62,58
Manager (R&D),Research and Development,Research and Development Manager,128,486
Assistant Director of Operation,Production,Production Manager,118,447
Account Director - Urgent,Account Executive,Account Director,0,1
นักรังสีเทคนิค,Medical Technologist,Radio Technologist,93,471
การสรรหาทรัพยากรบุคคล,HR,Recruiter,69,477
Pretty One-2-Call! SHOP (Full Time),Marketing,Ambassador,88,25
Management Trainee,Management Trainee,Management Trainee,87,337
นักออกแบบกราฟฟิก,Graphic Designer,Graphic Designer,68,263
"Product Sales ( Horton Works - Data Warehouse, Big Data )",Data,Data Management,38,156
เจ้าหน้าที่ประสานงาน อย.(RA) Reguratory Affairs,Project Coordinator,Project Coordinator,121,454
โฟแมน,Engineering,Site Foreman,50,516
ผู้ช่วยงานวิจัย,Researcher,Assistant Researcher,129,41
Motion Graphic Base in Lat Krabang (20 -35k) Prefer Personal Car,Multimedia,Animation Designer,96,30
ครูสาระวิทย์ (ประถม),Teacher,Elementary Teacher,140,193
รับ Engine Cadet ด่วน,Navigator,Engine Cadet,100,197
Business Intelligence / Data Warehouse Developer <br>(2 ตำแหน่ง),Data,Data Engineer,38,154
CATEGORY ANALYST (Business Sector: Consumer)<br>(Requisition# 00000AVD),Marketing,Category Management,88,92
เจ้าหน้าที่ GPS (มาบตาพุด),Transportation Officer,Transportation Officer,146,568
Software Engineer,IT and Computer,Programmer / Software Developer,74,453
CLERKS ( Contractual Status ),Administration,Administrator,2,8
Graphic & Interior Designer / ช่างภาพ (2  อัตรา),Architecture/Interior,Interior Architecture,12,301
System Analyst,IT and Computer,System Analyst,74,537
Geologist/ Geophysicist,Geoscientist and Geographer,Geoscientist,67,259
แพทย์ผู้เชี่ยวชาญด้านระบบประสาท,Physician/Doctor,Neurologist,110,377
พนักงานต้นทุนและสินค้า,Inventory Planning and Management,Cost Estimator,77,141
Process Improvement Specialist,Business Developer,Process Improvement Specialist,23,439
Clerk Housekeeping,Housekeeping,Cleaning Staff,72,108
Patient Registration (Burmese Language),Customer Service,Guest Service Agent,37,267
Localization Specialist,Translator,Localization,145,330
Project Director,Project Coordinator,Project Coordinator,121,454
Senior Sales Executive,Sales,Sales,132,495
Market Risk Management – Policy Unit <br>(Banking Book Management),Finance,Finance Manager,55,221
นักดนตรีประจำวงดนตรีไทย,Musician,Musician,98,374
Medical Therapy/Rehab Services,Medical Therapy/Rehab Services,Medical Therapy/Rehab Services,94,365
พนักงานประเมินราคา,Finance,"Assessor, Valuator, Appraiser",55,39
ช่างซ่อมบำรุงอาคาร (ประจำโครงการทองหล่อ),Construction/Building Technician,Building Facilities Maintenance Staff,31,69
Internal Auditor,Accounting,Auditor,1,47
ช่างออกแบบลายสัก/ช่างสัก,Fashion Designer,Tattoo Designer,54,540
หัวหน้างานขนส่ง,Transportation Officer,Transportation Manager,146,567
Safety Officer,Safety Officer,Safety Officer,131,494
เจ้าหน้าที่ฝ่ายวิเคราะห์การลงทุน,Finance,Investment Analyst,55,306
<font color=red><b>ด่วน!!!</font color></b><br>นักศึกษาฝึกงาน Part time (ขายคอร์สและออกบูธ),Sales,Sales,132,495
นักวิเคราะห์การสื่อสาร,Advertising and PR,Communication Analyst,5,121
นักทัศนมาตร ประจำ Shop Rayban สาขา Icon Siam,Optician,Optometrist,104,392
ช่างเทคนิคบริการ (ระบบไฮดรอลิค),Technician,Hydraulic System Technician,141,282
